1fc003e0:   34 09 93 0e         ORI $t1, $zero, 0x930e
1fc003e4:   21 10 93 0e         ADDI $s0, $t0, 0x930e
1fc003e8:   3c 12 9c c9         LUI $s2, 0x9cc9
1fc003ec:   36 52 54 de         ORI $s2, $s2, 0x54de
1fc003f0:   16 12 08 0c         BNE $s2, 0x080c
1fc003f4:   00 00 00 00         NOP
1fc003f8:   3c 08 30 b8         LUI $t0, 0x30b8
1fc003fc:   35 08 5a 68         ORI $t0, $t0, 0x5a68
1fc00400:   34 09 c1 b0         ORI $t1, $zero, 0xc1b0
1fc00404:   21 10 c1 b0         ADDI $s0, $t0, 0xc1b0
1fc00408:   3c 12 30 b8         LUI $s2, 0x30b8
1fc0040c:   36 52 1c 18         ORI $s2, $s2, 0x1c18
1fc00410:   16 12 08 04         BNE $s2, 0x0804
1fc00414:   00 00 00 00         NOP
1fc00418:   3c 08 ec 88         LUI $t0, 0xec88
1fc0041c:   35 08 b4 98         ORI $t0, $t0, 0xb498
1fc00420:   34 09 88 f6         ORI $t1, $zero, 0x88f6
1fc00424:   21 10 88 f6         ADDI $s0, $t0, 0x88f6
1fc00428:   3c 12 ec 88         LUI $s2, 0xec88
1fc0042c:   36 52 3d 8e         ORI $s2, $s2, 0x3d8e
1fc00430:   16 12 07 fc         BNE $s2, 0x07fc
1fc00434:   00 00 00 00         NOP
1fc00438:   3c 08 82 65         LUI $t0, 0x8265
1fc0043c:   35 08 2c 2f         ORI $t0, $t0, 0x2c2f
1fc00440:   24 09 3e e3         ADDIU $t1, $zero, 0x3ee3
1fc00444:   21 10 3e e3         ADDI $s0, $t0, 0x3ee3
1fc00448:   3c 12 82 65         LUI $s2, 0x8265
1fc0044c:   36 52 6b 12         ORI $s2, $s2, 0x6b12
1fc00450:   16 12 07 f4         BNE $s2, 0x07f4
1fc00454:   00 00 00 00         NOP
1fc00458:   3c 08 7b f0         LUI $t0, 0x7bf0
1fc0045c:   35 08 a3 46         ORI $t0, $t0, 0xa346
1fc00460:   34 09 9a 2d         ORI $t1, $zero, 0x9a2d
1fc00464:   21 10 9a 2d         ADDI $s0, $t0, 0x9a2d
1fc00468:   3c 12 7b f0         LUI $s2, 0x7bf0
1fc0046c:   36 52 3d 73         ORI $s2, $s2, 0x3d73
1fc00470:   16 12 07 ec         BNE $s2, 0x07ec
1fc00474:   00 00 00 00         NOP
1fc00478:   3c 08 24 fd         LUI $t0, 0x24fd
